Variedad,Proveedor,Zona óptima,Zona mala/descartar,Ciclo real (sem),Ventana cosecha (sem),Ciclo total (sem),Calidad tallo,Uso principal,Canal,Decisión,Cantidad referencia,Observaciones clave
Gomphrena Rose Bicolor,Proveedor externo,Toda,N/A,13,4,17,★★,Secos principalmente,Seco,REDUCIR,1 cama — solo para secos,Color muy bonito pero laterales caídos = gente cree que está marchita. En secos es de los mejores colores. Sembrar pocas cantidades solo para secos. Hubo exceso y devoluciones.
Ammi Majus,Ball/Andrés,"Exterior, Inv5, Inv4",N/A,12,4,16,★★★,Relleno bouquets + paquetes mixtos,Fresco+B2B,MANTENER,3-4 camas constantes,TODO lo del exterior siempre se vende. Wedding planners siempre lo piden. Agregan tallo a buckets siempre. Pérdida en sala por cabezas inmaduras o tallos arqueados (exterior). Nunca sobra.
Celosia Purple Flamingo,Ball,"3A, Mini",N/A,15,3,18,★★,Secos + momentos morados,Seco+Fresco,MANTENER,1 cama — momentos específicos,En secos: extraordinaria. En fresco: para momentos con paleta morada. Mix 3 colores se vendió bien. Analizar cantidad real según rotación.
Gomphrena Quis Carmine,Ball,"3A bajas, Inv5",N/A,13,6,19,★★★,Relleno bouquets + paquetes,Fresco+Seco,MANTENER,3-4 camas constantes,"Mejor de la serie. Bolas más grandes. La más versátil. En Navidad y Amor y Amistad combinada con Quis Red = perfecta. Seca increíble. Ciclo real 13 sem, ventana 6+ sem de producción."
Gomphrena Quis Red,Ball,"3A bajas, Inv5",N/A,13,5,18,★★★,Relleno bouquets + Navidad,Fresco+Seco,MANTENER,2-3 camas,Complemento perfecto de Carmine. Imprescindible en Navidad y Amor y Amistad.
Snapdragon Potomac Royal,Ball,Inv4,N/A,11,2,13,★★★,Paquetes + bouquets,Fresco,MANTENER,1-2 camas,Mejor Potomac. Color morado fucsia único. Pendiente: buscar este color en serie Opus o Monaco para mejor calidad de espiga.
Snapdragon Potomac Hairless White/Pink,Ball,N/A,Toda,11,1,12,✗,N/A,N/A,DESCARTAR,0,Mala calidad de tallos. Sembradas por desesperación. No volver a sembrar.
Marigold White Swan,Ball,"Exterior, 3A",N/A,14,3,17,★★,"Picos de demanda (Madres, Amor y Amistad)",Fresco,MANTENER,1-2 camas — SOLO picos,"Perfecto para días de la madre y amor y amistad. Aporta amarillo, rellena, barato, muchos laterales. Fuera de picos: cantidades muy pequeñas. Chillón en bucket normal. Se seca pero no tan bien como el naranja (chochi)."
Girasol Pro Cut Orange (Chochi),Semilla propia/externa,"Exterior, jardín",N/A,12,3,15,★★,Secos + momentos específicos,Seco,MANTENER,1 cama pequeña — no en exceso,Seca perfectísimo. Ya en jardín funcionó. Para secos constantemente. Sembrar en momentos específicos — si se tiene naranja todo el tiempo la gente se cansa.
Ammobium Alatum,Semilla,"Exterior 3A, Inv4A",N/A,13,3,16,★★★,Secos + relleno bouquets,Seco+Fresco,MANTENER,2-3 camas — ajustar cantidad,"Hit total. Cosecha extraordinaria exterior. Con días de sol y cosecha diaria = perfecto. Con lluvia se pudre afuera. Problema: follaje en tallo = se pudre en florero. Maquillaje complejo. Tallos en carritos muchos días = devoluciones. 4,600 plantas = demasiado. Ideal: 2,500-3,000 max. Ajustar cantidad urgente."
Orlaya Grandiflora,Semilla,Inv2 (pequeña cantidad),Carritos,20,3,23,★★,Bodas + condolencias + arreglos especiales,B2B,MANTENER,Muy pequeño — solo para B2B,Wedding planners la piden. En carritos: se duerme muy rápido. Para jardín como perenne/auto-resiembra. Semilla costosa. Solo sembrar poquito constante en Inv2. No para paquetes.
Dahlia,Bulbos externos,Jardín/Inv especial,N/A,16,4,20,★★★,Pedidos especiales + arreglos B2B,B2B,MANTENER,Colección pequeña — seguir comprando bulbos raros,No para carritos. Sí para pedidos por encargo. Arreglos especiales. Seguir comprando bulbos raros para colección propia. Siempre hay pedidos puntuales.
Anemona/Ranúnculo,Bulbos externos,Especial,N/A,16,4,20,★★★,Pedidos especiales + arreglos B2B,B2B,MANTENER,Colección pequeña,"Igual que Dahlia. Para pedidos especiales, arreglos, yugos. No masivo."
Helipterum Pierrot White,Semilla,"Inv4, exterior",N/A,15,6,21,★★★,Secos principalmente,Seco,MANTENER,Según movimiento real — no exceso,"1,396 plantas = demasiado para movimiento actual. Ideal: mitad. Con el tiempo las cabezas se abren y el amarillo interior se daña. Sembrar rosado próximo (más color). 3 tallos por bouquet seco máximo."
Scabiosa Estrella,Semilla,Inv2 (pequeña),Carritos,18,3,21,★★,Bodas + condolencias,B2B,MANTENER,Mínimo — junto con Orlaya,"Para arreglos especiales, no carritos. Mismo perfil que Orlaya."
Celosia Cristata Indian Summer Burgundy,Evanthia,Inv4B,N/A,14,3,17,★★★,Flor principal bouquets + paquetes especiales,Fresco,MANTENER,1-2 camas,"Reciente siembra Inv4B antes de madres: superbuena. Tallos largos, cabezas grandes (algunas) y pequeñas (filler). Pendiente: documentar % cabezas grandes vs pequeñas. Variedad que SÍ alonga consistentemente. A diferencia de Lovely (descartada) y otras que se quedan enanas."
Celosia Lovely (Evanthia),Evanthia,N/A,Toda,14,0,,✗,N/A,N/A,DESCARTAR,0,Se queda enana. Siembra completa desechada. Descartada permanentemente.
Nigella Miss Jekyll Pink,Johnny's,"Inv3C, Inv2",Carritos,14,2,16,★★,Bodas + centros de mesa + yugos,B2B,MANTENER,1 cama pequeña — constante,"En carritos: se despetala, mala experiencia cliente. Wedding planners: les encanta. Centros de mesa y yugos: increíble. Sembrar pequeño y constante en Inv2. Anual: siembra continua necesaria."
Statice Forever Happy / Hipster White,Ball/Andrés,"Inv4, 3A",Zonas húmedas,15,4,19,★★,Relleno bouquets + paquetes,Fresco+Seco,MANTENER,2-3 camas,Forever Happy = más consistente pero tuvo botritis en Inv5. Hipster = en evaluación. Seeker = pendiente comparativo. Pendiente: ensayo de las 3 variedades al tiempo para definir la más resistente a botritis. Forever Happy sí tiene colores apricot y naranja en las flores que lo hacen muy bonito.
Carthamus Zanzibar,Andrés/Semilla,"Inv4B, exterior",N/A,14,2,16,★★★,Paquetes tropicales + secos,Fresco+Seco,MANTENER,1 cama — ventana 2 sem,"Muy bueno pero ventana cortísima: 2 semanas. Seca increíble. Combinaciones exitosas: Snapdragon orange+Cártamo, Celosia Flamingo+Cártamo (secos). 1 tallo por bouquet. Pendiente: paquete tropical con cártamo+celosia+amaranto verde. No sembrar en exceso."
Dianthus Sweet Cherry Bicolor,Ball,"Inv3B, exterior",N/A,14,3,17,★★★,Relleno bouquets (filler constante),Fresco,MANTENER,1-2 camas constantes — cantidad reducida,Bicolor vino tinto y bicolor rosado = los mejores. Salmón Azar también muy bonito para paletas corales. DESCARTAR: blanco y rojo (muy comunes). En paquetes la gente los ve comunes pero como relleno de bouquets funcionan perfectísimo por su forma redonda grande. Los bicolores en minutitos se vendían muy bien.
Dianthus Sweet Cherry Salmón,Ball,Inv3B,N/A,14,3,17,★★,Relleno bouquets corales,Fresco,MANTENER,Pequeño — parte del mix bicolor,"Para paletas con corales y tonos cálidos. Hubo devoluciones del salmón en paquetes. Solo usar en bouquets, no paquetes solos."
Gomphrena Kiss Pink,Ball/Andrés,Toda,N/A,13,2,15,★,Secos principalmente,Seco,REDUCIR,Poquito — solo secos,Se quedó enana. Usada como se pudo en madres en petits. Para secos sí funciona bien. Mejor que la Kiss para secos: la Salmon. Para día a día: no.
Zinnia Aurora,Semilla/Floret,"Inv4B, exterior",Mini,12,4,16,★★,Paquetes coloridos + bouquets cálidos,Fresco,MANTENER,1-2 camas,"Colores amarillos y naranjas estridentes — para paletas cálidas. Ventana de cosecha larga, sin plagas grandes. Problema: cabezas. Aplicación calcio pendiente para mejorar. Menos productiva que Aurora según observación."
Zinnia Ballerina,Semilla/Floret,Inv4B,N/A,12,4,16,★★,Paquetes coloridos,Fresco,MANTENER,1 cama,Comportamiento similar a Aurora. Menos productiva según Vanessa. Evaluar si justifica vs Aurora.
Zinnia Jazzy Mix,Semilla,N/A,N/A,12,2,14,★,N/A,N/A,DESCARTAR,0,Variedad de jardín. Botones pequeños. Si acaso para jardín DCB. No producción.
Zinnia Unicorn (Floret),Floret,"Inv4B, Inv2",N/A,12,4,16,★★★,Bouquets especiales,Fresco,MANTENER,1 cama — más que antes,Más pomposa que las otras = más estable. Muy especial. Poca semilla disponible. Conseguir más y sembrar más.
Celosia Shimmer Mix,Ball/Evanthia,"Inv3A, Inv3B",N/A,14,3,17,★★,Relleno bouquets + paquetes combinados,Fresco,MANTENER,1 cama — no 2,Sola no vende. Como relleno funciona muy bien. Trabajar por color = mejor resultado. 2 camas = de más (planificado para madres). 1 cama es suficiente para rellenar bouquets + paquetes combinados.
Snapdragon Opus Bronze Early,Ball,Inv4A,N/A,9,2,11,★★,Paquetes + bouquets cálidos,Fresco,MANTENER,1-2 camas,Color naranja con toque rosado — funciona y es bonito. Problema en siembra reciente: malezas sin plástico. Con plástico debería mejorar. Cambiar de Potomac Appleblossom a Opus para mejor calidad de espiga.
Snapdragon Opus Appleblossom,Ball,Inv4A,Mini,10,2,12,★★★,Paquetes + bouquets,Fresco,MANTENER,2-3 camas,"Color muy bonito, rota bien. Cosechas históricas extraordinarias en Inv4. NUNCA en Mini. Cambiar Potomac Appleblossom por este."
Gomphrena Sequin,Johnny's,3A bajas,N/A,15,3,18,★,Seco en evaluación,Seco,OBSERVAR,Evaluar resultado seco antes de decidir,Color apagado rosado envejecido. En bouquets no diferencia ni hace vender más. No justifica precio vs Carmine. Cabezas caídas. Evaluar resultado seco — si es bueno mantener pequeña cantidad.
Strawflower Apricot,Semilla,Exterior Inv6,N/A,15,6,21,★★★,Secos + paquetes mixtos + relleno bouquets,Seco+Fresco,MANTENER,2-3 camas exterior,"Hit total. Paquetes 10 tallos mixtos se venden muy bien. Bajo costo, funciona muy bien afuera con plástico. Color más bonito de la serie (rosado con apricot). Con sol y cosecha diaria = perfecto. Pendiente: cuantificar tallos/planta sin fertirriego en exterior."
Strawflower Cranberry Rose,Semilla,Exterior Inv6,N/A,15,6,21,★★,Secos + paquetes mixtos,Seco+Fresco,MANTENER,1-2 camas exterior,Complementa bien al Apricot en paquetes mixtos. No para combinar con Apricot (colores no combinan bien). Para usar en otras combinaciones.
Larkspur Misty Lavender,Semilla,3A exterior,N/A,12,2,14,★★,Secos + bouquets especiales,Seco+Fresco,OBSERVAR,Evaluar post-seco antes de decidir cantidad,Elegante pero difícil de combinar. Se despetala en carritos = mala experiencia cliente. Pendiente: evaluar cómo seca para definir si justifica. Larkspur Carmine (rosado bonito) difícil de conseguir semilla — buscar.
Larkspur Light Blue,Semilla,3A exterior,N/A,12,2,14,★★★,Secos + bouquets,Seco+Fresco,MANTENER,1-2 camas,Más colorido que Misty Lavender. Se seca mejor. Combina más fácil. Pendiente: evaluar seco esta temporada.
Amaranto Velvet Curtains,Semilla,Inv6 exterior,N/A,15,2,17,★★,Momentos específicos morados/vino,Fresco,REDUCIR,Cantidad pequeña,Color muy pesado para bouquets. Sueño: Velvet + Shimmer rosado + Daucus = paquete elegante. Con paletas moradas/vino funciona. Cantidad fue adecuada — ya se vendió todo.
Amaranto Emerald Tails,Semilla,3A,N/A,10,3,13,★★★,Relleno bouquets + wedding planners,Fresco+B2B,MANTENER,2-3 camas,Wedding planners siempre piden el verde. Sembrar más que el coral y el rojo. Se vendió todo incluyendo corte por pedido especial (25 paquetes de una vez).
Amaranto Coral Fountain,Semilla,"3A, Inv6",N/A,11,3,14,★★,Bouquets + madres,Fresco,REDUCIR,Menos que verde,Vendimos hasta el último tallo en madres. Cantidad estuvo bien. Wedding planners piden menos este color vs verde. Sembrar menos cantidad que el verde.
Amaranto Love Lies Bleeding,Semilla,3A,N/A,11,3,14,★★,Bouquets especiales + wedding,Fresco+B2B,MANTENER,1-2 camas,Eleva bouquets. 1-3 tallos max por bouquet. Paquetes no mueven mucho. Combinar con Statice color + Celosias Dreams. Mejor venta: bucket completo para secar (Dusty+Statice apricot). Con calor se cae rápido. Punto de cosecha crítico.
Snapdragon Monaco Dark Pink,Ball,"Inv4A, Inv5",N/A,9,2,11,★★★,Paquetes + bouquets encendidos,Fresco,MANTENER,2-3 camas constantes,"Fucsia encendido. Para combinar con Carmine, Larkspur, momentos encendidos (no pasteles). Ciclo real 8-9 sem — el más rápido. Espigas apretadas, muy uniformes. MEJOR variedad de bocas de dragón."
Snapdragon Monaco Plumblossom,Ball,Inv4A (con plástico),Sin plástico,10,2,12,★★,Bouquets morados/vino,Fresco,MANTENER,1-2 camas,"Para combinar con morados, vino, lavandas, verdes. NO combinar con fucsias. Cama sem14 fue mala por causa cultural (sin desyerbe/malla). Con cama bien preparada debería dar bien. Evaluar productividad vs Appleblossom."
Snapdragon Potomac Crimson,Ball,Inv4A,N/A,11,3,14,★★,Paquetes + bouquets rojos,Fresco,MANTENER,1-2 camas,Rojo más hacia el rojo que el Crimson moradoso. Combina bien con rosados. Incluir en programación constante.
Snapdragon Cannes Light Bronze,Andrés/Evanthia,"3C, 4C",N/A,12,3,15,★★★,Paquetes + bouquets únicos,Fresco,MANTENER,1-2 camas,Color ÚNICO — apricot que no existe en ninguna otra serie. Irremplazable. Mantener siempre.
Snapdragon Cannes Red Delight,Andrés/Evanthia,"3C, 4C",N/A,12,3,15,★★★,Paquetes navideños + rojos,Fresco,MANTENER,1-2 camas,Rojo muy rojo. Navideño. Amor y Amistad. Rojo imprescindible en portafolio. Junto con celosia cresta roja = bucket romántico para hombres.
Snapdragon Doubleshot,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Centros de mesa,Fresco,ENSAYO,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Serie de día corto/invierno (grupo 1-2) que normalmente no da bien en DCB por fotoperiodo, pero funciona bien para centros de mesa. Uso específico distinto al resto de bocas de dragón — no es para paquete/bouquet estándar."
Snapdragon Prueba Avignon Pink 2 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Paquetes + bouquets (en evaluación),Fresco,ENSAYO ACTIVO — señal positiva,SIN_DATO,"NUEVA — agregada sesión 2026-08-12, precisada 2026-08-12. CONFIRMADO: es la primera de las 4 pruebas Avignon 2F1 en florecer bien. Serie grupo 2 (día corto) — normalmente no da bien en DCB por fotoperiodo, pero esta muestra buena señal. Trial aún no cerrado formalmente."
Snapdragon Prueba Avignon Silver 2 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Una de las 4 pruebas Avignon 2F1 en curso. Sin resultado reportado todavía — pendiente."
Snapdragon Prueba Avignon Light Rose 2 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Una de las 4 pruebas Avignon 2F1 en curso. Sin resultado reportado todavía — pendiente."
Snapdragon Prueba Avignon Apricot 2 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Una de las 4 pruebas Avignon 2F1 en curso. Sin resultado reportado todavía — pendiente."
Snapdragon Prueba Bridal Pink F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO — señal negativa,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Vanessa: ya se ve problemática, pero el trial no ha terminado — no descartar todavía."
Snapdragon Prueba Antibes Apricot 1 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Sin resultado reportado todavía — pendiente."
Snapdragon Prueba Double F Apricot 2 F1,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Fresco,ENSAYO ACTIVO — señal negativa,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Vanessa: ya se ve problemática, pero el trial no ha terminado — no descartar todavía."
Snapdragon enanos,SIN_DATO,N/A,Toda,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,N/A,N/A,DESCARTAR — ignorar,0,"NUEVA — agregada sesión 2026-08-12. Vanessa: ignorar, no relevante para el catálogo."
Snapdragon Calima Pink,SIN_DATO,N/A,Toda,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,N/A,N/A,DESCARTAR,0,"NUEVA — agregada sesión 2026-08-12. Vanessa: tallos insignificantes, mala calidad."
Snapdragon Potomac Early (White/Pink/Orange/Yellow),Tecniplantas,Inv4,3B sin agua,SIN_DATO,SIN_DATO,SIN_DATO,★★,N/A,Fresco,REDUCIR,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Vanessa: generan tallos de menor calidad y más variabilidad entre tallos que Monaco/Opus — consistente con el hallazgo sem24 ya documentado en el grupo Boca de Dragón."
Snapdragon Potomac Dark Orange,Tecniplantas,Inv4,3B sin agua,SIN_DATO,SIN_DATO,SIN_DATO,★★,Paquetes + bouquets,Fresco,REDUCIR,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. Vanessa: es el mejor de los Potomac Early, pero Monaco Orange sigue siendo mejor — no priorizar sobre Monaco."
Snapdragon Cannes Lemon,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Paquetes + bouquets,Fresco,MANTENER,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. CONFIRMADO por Vanessa: cultivar distinto de Orleans Lemon, ambos sembrados para el color amarillo. Ver afinidad_color_bocas_dragon.csv para combinaciones."
Snapdragon Orleans Lemon,Andrés/Evanthia,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,Paquetes + bouquets,Fresco,MANTENER,SIN_DATO,"NUEVA — agregada sesión 2026-08-12. CONFIRMADO por Vanessa: cultivar distinto de Cannes Lemon, ambos sembrados para el color amarillo. Ver afinidad_color_bocas_dragon.csv para combinaciones."
Snapdragon Opus Pink,Ball,Inv4A,N/A,10,2,12,★★,Paquetes + bouquets rosados,Fresco,MANTENER,1-2 camas,Pendiente: encontrar el rosado pastel perfecto. Todavía muy chicle/rosado intenso. Se vende bien pero no es el rosado soñado. Comparar con Monaco Pink y Cannes Pink para definir ganador.
Snapdragon Opus Lavender,Ball,Inv4A,N/A,10,2,12,★★★,Paquetes + bouquets lavanda,Fresco,MANTENER,2-3 camas constantes,Vende muy bien. Muy bonito. Combina muy bien. Debería tener más constantemente en programación.
Snapdragon Opus Fresh,Ball,Inv4A,Mini,10,2,12,★★★,Condolencias + bouquets neutros + paquetes,Fresco,MANTENER,1-2 camas constantes,Siempre necesario blanco para condolencias. Tallos más gruesos que Appleblossom. Con cantidad correcta — en exceso se vota. Tener siempre pero cantidad moderada.
Zinnia Linen (Floret),Floret,Inv4B,N/A,12,4,16,★★★,Bouquets especiales pasteles,Fresco,MANTENER,1 cama,Muy bonita. Combina perfecta con paletas neutras/pasteles.
Zinnia Floret Victorian Wedding,Floret,Inv4B,N/A,12,4,16,★★★,Bouquets especiales,Fresco,MANTENER,1 cama,Colores únicos. Para bouquets especiales y bodas.
Celosia Spun Sugar / Summer Sherbet,Ball/Evanthia,"3B, 3A",N/A,14,3,17,★★★,Relleno bouquets + paquetes,Fresco,MANTENER,1 cama de cada una,Trial actual — primera temporada con estas variedades de Floret. Plumas visibles sem22. Con adición de luz responden mejor. Sin luz artificial: respuesta menor.
Campanula Champion Pink,Ball,"Inv5, 3B",N/A,12,3,15,★★★,Relleno bouquets + paquetes,Fresco+B2B,MANTENER,Siembra mensual constante,Siembra fija mensual junto con White. Da color y llena bouquets perfectamente. Clientes y wedding planners la prefieren sobre el blanco para bouquets. Pendiente: definir cantidad exacta para no tener exceso ni faltante. Nunca sobra casi.
Campanula Champion White,Ball,"Inv5, 3B",N/A,12,3,15,★★★,Condolencias + relleno neutro + novia,Fresco+B2B,MANTENER,Siembra mensual constante — menor cantidad que Pink,"Básico imprescindible. Para condolencias, pureza, arreglos novia. En bouquets aporta menos color que Pink entonces usar en menor cantidad relativa. Siembra mensual fija junto con Pink. Nunca sobra."
Campanula Champion Lavender,Ball,"Inv5, 3B",N/A,12,3,15,★★,Bouquets especiales + B2B,Fresco+B2B,MANTENER,Intercalada entre siembras Pink/White,Vende muy bien. A veces más corta en tallo. Más problemática con polinizadores. Menos siembras históricas para corroborar comportamiento. Intercalar en programación — no siembra mensual fija sino cada 2 meses. Revisar rendimiento en próximas cosechas.
Campanula Champion Bloom,Ball,N/A,Toda,12,0,12,✗,N/A,N/A,DESCARTAR,0,Color muy feo. Descartado permanentemente.
Campanula Champion Rose,Ball,N/A,Toda,12,2,14,★,N/A,N/A,DESCARTAR,0,Muy similar al Pink pero underperforms. No justifica sembrar cuando Pink es superior.
Zinnia Benary Giant Bright Pink,Benary/Semilla,"Inv4B, Inv2",N/A,12,4,16,★★★,Bouquets + paquetes,Fresco,MANTENER,1-2 camas,Funciona muy bien. Color fucsia subido combinado con Ballerina rosada clarita = muy bonito. Tiene cabezas grandes. Pendiente: medir vida en florero y productividad exacta. Trial activo con otros colores Benary.
Zinnia Benarys Giant Carmen Rose,Benary/Semilla,N/A,N/A,12,2,14,★,N/A,N/A,DESCARTAR,0,Color coral estridente muy difícil de combinar. No volver a sembrar.
Celosia Cristata Verda Green,Evanthia/Ball,Inv4 con plástico+luz+fertilización,"Sin plástico, sin luz",14,3,17,★★★,Flor principal bouquets + paquetes especiales,Fresco,OBSERVAR,Definir según resultado trial actual,"Historial mixto: una siembra se quedó enana, la inicial fue muy buena. Siembra actual tiene todos los factores correctos (fertilización diaria, plástico, luz). Tallos ya largos, falta engorde de cabezas — será el definitivo. Si cabezas engordan: MANTENER con 1-2 camas constantes. Si no: investigar causa antes de descartar."
Ptilotus Matilda,Ball,"3A, Inv4",N/A,15,4,19,★★★,Bouquets elevados + wedding,Fresco+B2B,MANTENER,1-2 camas — cantidad medida,Eleva bouquets. 1-3 tallos por bouquet grande. No vende bien en paquetes solos. Mejor venta: bucket completo combinado con Dusty Miller + Statice apricot (para secar). Con calor se cae rápido — revisar punto de cosecha. Celosia Dreams + eucalipto + Ptilotus también vendió bien.
MANTENER: 50,REDUCIR: 6,DESCARTAR: 9,OBSERVAR: 3,,,,,,,,,
📋 CAMBIOS BALL SEM24-26 — Sem23 Junio 2026,,,,,,,,,,,,
Potomac Appleblossom,Ball Colombia,Inv4,N/A,12,3,15,★★,Paquetes + bouquets Amor y Amistad,Fresco,MANTENER,1-2 camas para sem38,CAMBIO BALL: reemplaza Opus Appleblossom sem26. Ciclo 12 sem → cosecha sem38. Tallo más delgado que Opus pero color rosado pastel funciona para Amor y Amistad. Monitorear calidad.
Monaco Pink,Ball Colombia,Inv4,N/A,9,3,12,?,Paquetes + bouquets,Fresco,OBSERVAR,1-2 camas — evaluar calidad,"CAMBIO BALL: reemplaza Opus Pink sem26→28. Entrega sem28, trasplante sem29, cosecha sem38 Amor y Amistad. Primera siembra de este color — evaluar calidad vs Opus Pink."
