tipo,fecha_o_patron,nombre,efecto_venta,severidad,categoria_producto_asociada,confianza,fuente,notas
FECHA_COMERCIAL,"Noviembre-diciembre (colegio); variable (universidad, danza)",Graduaciones,SUBE,,,baja,Vanessa - sesion 2026-08-12,PENDIENTE afinar meses exactos por tipo de graduacion (colegio vs universidad vs danza)
PATRON_RECURRENTE,Dia 15 y fin de cada mes,Quincena,ALTA,,,media,Vanessa - sesion 2026-08-12,Patron recurrente todo el ano - no es fecha fija sino ciclo mensual
TEMPORADA_MENSUAL,Enero,Mes completo,BAJA,,,media,Vanessa - sesion 2026-08-12,Gente todavia de viaje
TEMPORADA_MENSUAL,Marzo,Mes completo,MIXTA,,,media,Vanessa - sesion 2026-08-12,"Dia de la Mujer + inicio de temporada empujan el mes hacia arriba, pese al festivo puente San Jose (19 marzo)"
TEMPORADA_MENSUAL,Junio-Julio,Mes completo,TERRIBLE,,,media,Vanessa - sesion 2026-08-12,Vacaciones escolares - el peor periodo del ano segun Vanessa
TEMPORADA_MENSUAL,Agosto,Mes completo,ALTA,,,media,Vanessa - sesion 2026-08-12,"Feria de las Flores empuja el mes hacia arriba pese a tener 2 festivos puente (Boyaca 7 ago, Asuncion 15 ago)"
TEMPORADA_MENSUAL,Noviembre,Mes completo,ALTA,,,media,Vanessa - sesion 2026-08-12,"Eventos pre-navidenos + graduaciones de colegio empujan el mes hacia arriba pese a tener 2 festivos puente"
TEMPORADA_MENSUAL,Diciembre,Mes completo,MIXTA,,,media,Vanessa - sesion 2026-08-12,Volumen general bajo por viajes pero ticket alto concentrado en coronas y guirnaldas navidenas
PENDIENTE_CONFIRMAR,Tercer domingo de junio,Dia del Padre,SIN_DATO,,,baja,Propuesta inicial Claude - no confirmada por Vanessa,"Cae en el mes que Vanessa marca como terrible por vacaciones - confirmar si compensa algo o si vacaciones gana siempre"
PENDIENTE_CONFIRMAR,Todo el calendario,Cruce con datos reales de ventas,SIN_DATO,,,baja,Pendiente autorizacion y fuente,"Vanessa pidio nutrir este calendario con comportamiento real de ventas. Requiere datos de 03_Ventas (fuera de alcance del proyecto sin autorizacion explicita de que archivo/reporte usar). Cuando llegue el dato: subir confianza a alta donde el dato confirme el efecto esperado, marcar CONTRADICHA donde no lo confirme"
