grupo,sem_germinacion,sem_a_campo_min,sem_a_campo_max,ventana_sem_min,ventana_sem_max,distancia_cm,tallos_planta,pinch,perenne,fuente,notas
Nigela,4,12,14,2,2,7.5,1,no,,variedades_bitacora.csv,Bitacora (Miss Jekyll Pink) 14/2. Excelente en 3C. En carritos se despetala — solo B2B
Daucus carota,,13,24,2,6,15,,no,,variedades_bitacora.csv,Purple Kisses: ciclo 24 ventana 2 (bitacora) — se demora el doble que Ammi. REDUCIR
Girasol,2,12,12,3,3,7.5,1,no,,variedades_bitacora.csv + parametros_siembra + Vanessa,"CONFLICTO de ciclo: bitacora dice 12/3 (Pro Cut Orange), parametros dice 10/2 (Pro Cut). Uso 12/3 por ser la bitacora la fuente primaria. Germinacion 2 sem y 7.5 cm de parametros. tallos_planta=1 confirmado por Vanessa Y por parametros"
Ammobium,4,13,13,3,3,15,1,no,,variedades_bitacora.csv + parametros_siembra + Vanessa,"Ciclo 13 ventana 3 (bitacora); parametros dice 10/2. Germinacion 4 sem y 15 cm de parametros. tallos_planta=1 confirmado por Vanessa Y por parametros. TECHO: 4.600 plantas fue DEMASIADO, ideal 2.500-3.000 max"
Amaranto,5,10,15,2,3,15,1,no,,variedades_bitacora.csv + parametros_siembra + Vanessa,"tallos_planta=1 confirmado por Vanessa. OJO: parametros dice que Amaranto Velvet CON PINCH da 4 tallos/planta y 20 cm — si se hace pinch, este numero cambia. Por variedad: Emerald Tails 10/3, Love Lies Bleeding y Coral Fountain 11/3, Velvet Curtains 15/2. Germinacion 5 sem"
Green Ball,,13,13,3,3,15,1,no,,variedades_parametros_siembra.csv,"SI estaba registrado como Dianthus Green Ball: ciclo 13, ventana 3, 15 cm, 1 tallo/planta, desbrotar laterales. Mi derivacion de CAMPO (n=3) dio 12.9 sem — coincide. homologacion_registro.csv precisa: sin pinch = 1 t/planta, con pinch da mas"
Celosia Purple Flamingo,,15,15,3,3,,,no,,variedades_bitacora.csv,SPICATA (confirmado por Vanessa 2026-08-13). Extraordinaria en secos. En fresco solo para paletas moradas
Carthamus,,14,14,2,2,,,no,,variedades_bitacora.csv,Ventana cortisima 2 sem. Seca increible. 1 tallo por bouquet. No sembrar en exceso
Dianthus,,14,14,3,3,,,no,,variedades_bitacora.csv,Sweet Cherry Bicolor: relleno constante. DESCARTAR blanco y rojo (muy comunes)
Ptilotus,,15,15,4,4,,,no,,variedades_bitacora.csv,Eleva bouquets. 1-3 tallos por bouquet grande. Con calor se cae rapido
Heliperum,,15,15,6,6,,,no,,variedades_bitacora.csv,"1.396 plantas fue demasiado, ideal la mitad. Max 3 tallos por bouquet seco"
Marigold,,14,14,3,3,,,no,,variedades_bitacora.csv,"SOLO para picos (Madres, Amor y Amistad). Chillon en bucket normal"
Orlaya,,20,20,3,3,,,no,,variedades_bitacora.csv,Solo B2B. En carritos se duerme muy rapido. Semilla costosa
Scabiosa,,18,18,3,3,,,no,,variedades_bitacora.csv,Mismo perfil que Orlaya. Solo arreglos especiales
Dahlia,,12,12,4,4,,,no,si,Vanessa 2026-08-13,"PERENNE con reset: produce, se resetea, retona y vuelve a producir. No tiene cierre de cama. Ciclo 12 sem CONFIRMADO por Vanessa 2026-08-13 contra la cosecha real; deja sin efecto el 16 de la bitacora. La tabla de PROGRAMACION_2026 tambien dice 12. VENTANA POR FLORACION SIN CONFIRMAR: bitacora dice 4, PROGRAMACION dice 6. Semanas de retono hasta la siguiente floracion: SIN_DATO. Bulbos externos, solo pedidos por encargo. Los lotes actuales estan en ENSAYO en Inv 2, donde se ensaya por ser el invernadero mas irregular."
Esparrago,,,,,,,,,si,Vanessa 2026-08-13,"ENSAYO en Inv 2 (Vanessa 2026-08-13). Inv 2 NO es un bloque de pruebas — tiene camas productivas — pero es donde se ensaya, por ser el invernadero MAS IRREGULAR: asi no se compromete el espacio parejo de los otros. Consecuencia al leer el resultado: si va mal, es AMBIGUO entre la variedad y la cama. Un resultado mediocre aqui no condena a la variedad, pide repetirlo en cama pareja. PERENNE, PRIMERA SIEMBRA. No tiene cierre de cama: el modelo ciclo->ventana->cierre NO aplica. Ciclo y ventana SIN_DATO a proposito, hay que medirlos de esta cosecha. NO tiene fila en campo_siembras.csv: falta la fecha de siembra Y el numero de plantas, asi que sin denominador no se puede calcular productividad. Cosecha desde sem 33 (2026-08-10) en bloque 2, 40 tallos en 3 dias."
Colitas de conejo,,,,,,,,,,Vanessa 2026-08-13,"ENSAYO en Inv 2 (Vanessa 2026-08-13). Inv 2 NO es un bloque de pruebas — tiene camas productivas — pero es donde se ensaya, por ser el invernadero MAS IRREGULAR: asi no se compromete el espacio parejo de los otros. Consecuencia al leer el resultado: si va mal, es AMBIGUO entre la variedad y la cama. Un resultado mediocre aqui no condena a la variedad, pide repetirlo en cama pareja. PRIMERA SIEMBRA BAJO INVERNADERO. Ciclo y ventana SIN_DATO a proposito, hay que medirlos de esta cosecha. En campo_siembras.csv figura como ""Bunny Tails"" (Lagurus ovatus) — MISMO CULTIVO, confirmado por Vanessa 2026-08-13, no es deduccion. Bloque 2, 1170 plantas trasplantadas, inicio AGOSTO, que cuadra con la cosecha real desde sem 32. Productividad preliminar 400 tallos / 1170 plantas = 0.34 t/planta, TRUNCADA (ventana lleva 3 dias abierta). FALTA el nombre homologado en columna N de CAMPO: sin el, el motor no puede cruzar los tallos con las plantas y el lote no entra al calendario de Erica. Si es perenne: SIN CONFIRMAR."
Celosia spicata,,13,15,2,3,,,,,Vanessa 2026-08-13 (subtipo) + PROGRAMACION_2026 + variedades_bitacora.csv,"SUBTIPO CONFIRMADO por Vanessa 2026-08-13: Dreams, Flamingo y Celway son spicatas. Rango derivado de tres cultivares NOMBRADOS, no de un promedio inventado: PROGRAMACION_2026 da Celway 13/2 y Flamingo 15/2, la bitacora da Purple Flamingo 15/3. Reemplazar por el observado cuando haya cosecha suficiente por subtipo. Distancia y tallos/planta SIN_DATO. Ver 04-variedades/04-celosia-subtipos.md"
