producto,casa_comercial,categoria,organismo_vivo,modo_accion,blancos,formulacion,via,dosis_min_25L,dosis_max_25L,unidad,dosis_fuente,intervalo_dias,max_por_ciclo,carencia_h,reingreso_h,ventana_uv,restricciones,ficha_estado,ficha_archivo,registro_ica,vida_util,conservacion,stock,stock_unidad,stock_fecha,presentacion,presentacion_unidad,precio_cop,precio_fecha,proveedor,notas
No Fly,Futureco Bioscience (Espana),INSECTICIDA,HONGO,entomopatogeno (Paecilomyces),"mosca blanca, pulgones, trips",WP,FOLIAR,50,62.5,g,"FICHA ornamental: 200-250 g/hl = 2-2,5 g/L; 3-4 aplicaciones cada 5-7 dias",5-7,,0,,"TARDE (esporas sensibles a calor, sequedad y UV; alta HR favorece: riego previo)",Ficha: compatible con la mayoria de productos de proteccion; test de compatibilidad en volumen pequeno,CONFIRMADA,03-fitosanidad/fichas/No-Fly.pdf,,6 meses ambiente / 1 ano refrigerado,ambiente <25 C,600,g,2026-03-26,1000,g,206278,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): Paecilomyces fumosoroseus FE9901 | FICHA: Paecilomyces fumosoroseus FE9901 18 % = 2e9 esporas/g. OMRI. Refrigerado 1 ano; ambiente 6 meses. Se venia usando a 10 g/bomba (0,4 g/L): 5 a 6 veces por debajo de la ficha."
Deep Green,,INSECTICIDA,HONGO,entomopatogeno (Metarhizium),arrieras (cebo); foliar,SC,FOLIAR,17.5,25,cc,HOJA_STOCK: 0.7-1 cc/L,,,,,TARDE_ESTRICTA,hongo vivo: no con fungicidas,LISTADA_SIN_DATOS,,,,,,,,1000,cc,189100,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): Metarhizium anisopliae cepa DSM 15168
BTK,,INSECTICIDA,BACTERIA,toxina Bt por ingestion,"defoliadores, trips, spodoptera",SIN_DATO,FOLIAR,25,37.5,cc,HOJA_STOCK: 1-1.5 cc/L,,,,,TARDE_ESTRICTA,,LISTADA_SIN_DATOS,,,,,250,cc,2026-03-26,1000,cc,50000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): Bacillus thuringiensis var. kurstaki
Pokonia,,INOCULANTE,SIN_DATO,control biologico,"fusarium, nematodos",SIN_DATO,DRENCH,,,cc,,,,,,,,LISTADA_SIN_DATOS,,,,,2000,cc,2026-03-26,1000,cc,129000,2026-09-02,Vanessa (dictado) -- 02-nutricion/07-programa-biologico.md,
Tornado,,INSECTICIDA,HONGO,entomopatogeno (Beauveria),,SIN_DATO,FOLIAR,25,50,cc,HOJA_STOCK: 1-2 cc/L,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,cc,104000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Redundante con Safer Mix: descartar. | Composicion (hoja Stock): Beauveria, Bt kurstaki, Lecanicillium, Bt israeliensis, B. pumilus, B. subtilis, B. amyloliquefaciens, Lysinibacillus"
Azufral,Bioquirama,FUNGICIDA,NO,"polisulfuro de calcio 30 % (caldo sulfocalcico): contacto, libera azufre elemental; inhibe germinacion de esporas; tambien acaricida","oidio, acaros, royas, escamas",solucion acuosa,FOLIAR,50,75,cc,"FICHA: 2-3 cc/L (hortensia, aster, solidago: oidio y acaros)",,,0,,NO en tiempo calido (quema): manana temprano o tarde fresca,"Ficha: INCOMPATIBLE con aceites minerales y vegetales; fitotoxico en cultivos sensibles al azufre y con calor; corrosivo, no usar equipos de cobre; lavar la bomba",CONFIRMADA,"bioquirama.com, texto en 03-fitosanidad/fichas/Azufral.txt",,12 meses,"fresco, seco y sombreado",,,,,,,,,"Permitido en produccion organica certificada (ficha). NO es el mismo tipo de azufre que Kumulus (azufre elemental micronizado 80 % WG): es polisulfuro de calcio, alcalino y corrosivo. | Vanessa 2026-09-23: comprado para oidio + botrytis; queda para una aplicacion INDIVIDUAL de refuerzo en statice, no dentro de las bombas."
Timorex Gold,Stockton,FUNGICIDA,NO,"extracto Melaleuca alternifolia 223 g/L: preventivo, curativo, antiesporulante; rompe membrana","oidio, botrytis, bacterias",EC,FOLIAR,25,50,cc,"FICHA ornamentales: oidio 1-1,4 ml/L; botrytis 2,0 ml/L",,,0,4 (bajo cubierta),NO en maxima radiacion; esperar a que seque el rocio,"Ficha: mezclas con otros productos, prueba previa a pequena escala; no requiere regulador de pH",CONFIRMADA,Drive 1pf3aWviNw9lR-RYtqE7ryb_IG_q_BnT0 (rev. abr 2022),6296,,<35 C,,,,1000,cc,123064,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%","Composicion (hoja Stock): extracto de Melaleuca alternifolia: preventivo, curativo, antiesporulante | Lista agosto 2026: TIMOREX GOLD bidon 1 L"
Cincap,,SIN_DATO,SIN_DATO,,,SIN_DATO,,50,75,cc,HOJA_STOCK: 2-3 cc/L,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,cc,45000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): extracto de canela: trips, afidos, acaros"
Infinito,,FUNGICIDA,NO,,,SIN_DATO,,,,,,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,cc,164260,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%",Uso en lisianthus (contexto_variedad). | Lista agosto 2026: INFINITO SC bidon 1 L
Cantus,,FUNGICIDA,NO,,,SIN_DATO,,,,,,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,g,315436,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%",Lista agosto 2026: CANTUS WG bolsa 1 kg
Revus,,FUNGICIDA,NO,,,SIN_DATO,,,,,,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,cc,206540,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%",Lista agosto 2026: REVUS 250 SC bidon 1 L
Nube SC,,INOCULANTE,SIN_DATO,,,SC,BANDEJA,,,,,,,,,,,LISTADA_SIN_DATOS,,,,,,,,,,,,,10 cc en 5 L de inoculacion de bandeja.
Biohar Forte,,SIN_DATO,SIN_DATO,,,SIN_DATO,,25,62.5,cc,HOJA_STOCK: 1-2.5 cc/L,,,,,,,LISTADA_SIN_DATOS,,,,,,,,1000,cc,123000,2026-09-02,Vanessa (dictado) -- 02-nutricion/07-programa-biologico.md,Composicion (hoja Stock): Trichoderma + Bacillus
Glukoplant Ca-BZn,Inveragro,NUTRICIONAL,NO,Ca + B + Zn,pared celular; boca sem 5-8 obligatorio,SL,FOLIAR,37.5,50,cc,"FICHA foliar: 1,5-2 cc/L en 4-6 aplicaciones por ciclo; 2-4 L/ha",,6,,,FLEXIBLE,"calcio: revisar con sulfatos y fosfatos en el mismo tanque; Hoja Stock: ""calcio solo"" = no con otros minerales (sulfatos, fosfatos); SI con biologicos e insecticidas/fungicidas de contacto (Vanessa 2026-09-23)",CONFIRMADA,"inveragro.com.co, texto en 03-fitosanidad/fichas/Glukoplant.txt",,,,1000,cc,2026-03-26,1000,cc,50000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): Ca + B + Zn + carbono organico de algas | FICHA: CaO 140 g/L, B 30 g/L, Zn 30 g/L, C org 90,5 g/L; complejos metalpoliol + ascorbatos; pH 5,7; densidad 1,45. A 37,5 cc entrega 1,1 g de Zn por bomba."
Naturmix-L,Daymsa (Espana) / Agriandes,NUTRICIONAL,NO,multiminerales / micronutrientes,,SL,FOLIAR (DCB) / FERTIRRIEGO (ficha),12.5,12.5,cc,"DCB: 0,5 cc/L foliar (hoja Stock; Vanessa 2026-09-23: ""siempre lo hemos aplicado por via foliar"")",,,,,,Ficha registrada solo para fertirriego; DCB lo usa foliar por decision de Vanessa,CONFIRMADA,03-fitosanidad/fichas/Naturmix-L.pdf (v1 2026),5575,,,,,,1000,cc,52368,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion desconocida: puede duplicar Mn/Zn de Amicos MC. | Composicion (hoja Stock): B, Cu, Fe, Mn, Mo, Zn complejados con acido gluconico | FICHA: Fe 74 g/L, Mn 43 g/L, Zn 12 g/L, B 8, Cu 5,2, Mo 0,45 g/L (gluconatos; B con monoetanolamina); pH 2,5. Apto agricultura ecologica UE/NOP/JAS. En la bomba foliar se usaba fuera de etiqueta."
ADN Green,ADN Adelante SAS,INSECTICIDA,NO,extracto de Stemona,"trips, afidos, mosca blanca",SL,FOLIAR,25,25,cc,"FICHA: rosa 1,0 ml/L (trips, afidos, mosca blanca)",15,,0,1,MANANA (ficha: no exceder 26 C),"Ficha: PREFERIBLEMENTE APLICAR SOLO; con plaguicidas, prueba a pequena escala; separar aplicaciones cada 15 dias; aplicar en la manana <=26 C",CONFIRMADA,Drive 1dbRcaqenhPKPTVb1a4wioTnr3BXLpYwY (v002 2018),7909,2 anos,,1000,cc,2026-03-26,1000,cc,125400,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): Stemona japonica + te (alcaloides vegetales) | FICHA: matrinas (alcaloides de Sophora japonica + te) 0,3 g/L; traslaminar; muerte a 4-6 dias. Cat. tox. III."
Neofat,,COADYUVANTE,NO,"surfactante + filtro UV (ricinoleato de potasio, sin alcohol)",,SIN_DATO,FOLIAR,12.5,25,cc,"FICHA: follaje 0,5-1,0 cc/L; 100-200 cc/ha",,,,,,Ficha: mezclar PRIMERO agua + Neofat y despues el biologico o la molecula quimica,CONFIRMADA,Drive 11dqkQCroQmExFFLEFhADWSMZy8AcKKRi,5441,2 anos,,,,,1000,cc,54000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Inventario marzo: probablemente agotado. Saber si lleva alcohol (incompatible con biologicos). | Composicion (hoja Stock): Ricinoleato de potasio 35%; coadyuvante / filtro UV | FICHA: ricinoleato de potasio 35 g/L (no 35 %), filtro UV factor 30, encapsula microorganismos; efecto insecticida colateral (mosca blanca, trips, afidos, acaros). Cat. tox. IV."
Starzyme,,BIOESTIMULANTE,NO,aminoacidos + vitaminas,activacion metabolica; prefloracion sem 5-10,SL,FOLIAR,12.5,25,cc,"ASESOR (hoja Stock Productos Agro DCB): 0,5-1 cc/L. Ficha: 250 cc/ha, minimo 3 veces por ciclo",,,0,2,FLEXIBLE,"Ficha: prueba de compatibilidad antes de mezclar con pesticidas, surfactantes o fertilizantes foliares",CONFIRMADA,Drive 1f5TwUP614AixUNgX53hkrxvF27ZkldnI (act. 2021-11-11),5665,24 meses,ambiente,500,cc,2026-03-26,1000,cc,146600,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): aminoacidos libres, nucleotidos, vitaminas + B, Zn, Cu, Fe, Mn, Mo | FICHA: Zn 72 g/L, Cu 11 g/L, Fe 6, B 4, Mn 1,9, Mo 1, S 43,9 g/L; aminoacidos libres 180 g/L; pH 3,9; densidad 1,34. A 25 cc/bomba entrega 1,8 g de Zn por bomba de 25 L."
Ascofol,ADN Adelante SAS,BIOESTIMULANTE,NO,"Ascophyllum: auxinas, citocininas, giberelinas",,SL,FOLIAR,25,25,cc,HOJA_STOCK: 1 cc/L,,,,,FLEXIBLE,,PARCIAL,PLM agroquimicos-organicos (texto pegado por Vanessa 2026-09-23),,,,1000,cc,2026-03-26,1000,cc,42857,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%","Composicion (hoja Stock): Ascophyllum: giberelinas, auxinas, citoquininas | Lista agosto 2026: ASCOFOL bidon 1 L | Vanessa 2026-09-23 via PLM: Ascophyllum nodosum + glicina betaina (Beta vulgaris); >3000 ppm hormonas naturales + osmoprotectores. NO es el Wuxal Ascofol (Nufarm/Bayer). Falta dosis de ficha."
Naturamin,Daymsa / Tattersall (ficha de Chile),BIOESTIMULANTE,NO,aminoacidos,estres,polvo,FOLIAR,,,g,"FICHA (Chile): foliar 0,3-1 kg/ha; ornamentales 2-3 tratamientos por temporada",,,,,FLEXIBLE,,PARCIAL,03-fitosanidad/fichas/Naturamin-WSP.pdf,,,,1000,g,2026-03-26,1000,g,147488,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): aminoacidos de plumas; 2-3 veces por ciclo | FICHA: aminoacidos libres 80 %, N total 12,8 %; prolina y serina (osmoprotectores). Certificacion organica NOP/JAS/CE. Confirmar que sea el mismo que se compra en Colombia (hoja Stock dice aminoacidos de plumas)."
Engruese,,NUTRICIONAL,NO,calcio,pared celular,SL,FOLIAR,125,175,cc,HOJA_STOCK: 5-7 cc/L,,,,,FLEXIBLE,,SIN_FICHA,,,,,4000,cc,2026-03-26,1000,cc,7400,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): calcio
Tropical,,NUTRICIONAL,NO,,crecimiento vegetativo,SL,FOLIAR,125,175,cc,HOJA_STOCK: 5-7 cc/L,,,,,,,SIN_FICHA,,,,,2000,cc,2026-03-26,1000,cc,7400,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): desarrollo
Yodosafer,,FUNGICIDA,NO,yodo PVP; fungicida + bactericida,,SL,FOLIAR,50,50,cc,HOJA_STOCK: 2 cc/L,,,,,,NO en floracion; Hoja Stock: No en cosecha ni sobre flores: mancha,SIN_FICHA,,,,,500,cc,2026-03-26,4000,cc,254966,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%",Composicion (hoja Stock): yodo polivinil pirrolidona | Lista agosto 2026: YODOSAFER SL galon 4 L
Rutastar,,FUNGICIDA,NO,extracto de citricos,"botrytis, mildeos, erwinia",SIN_DATO,FOLIAR,37.5,62.5,cc,HOJA_STOCK: 1.5-2.5 cc/L,,,,,,,SIN_FICHA,,,,,250,cc,2026-03-26,1000,cc,114000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): extractos citricos: bactericida y fungicida
ADN Fun,,FUNGICIDA,NO,extractos,"oidio, botrytis",SIN_DATO,FOLIAR,25,37.5,cc,HOJA_STOCK: 1-1.5 cc/L,,,,,,,SIN_FICHA,,,,,250,cc,2026-03-26,1000,cc,98571,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%","Marcado redundante. | Composicion (hoja Stock): extractos de Chamomilla, Hydrastis, Kalimeris, Senna | Lista agosto 2026: ADNFUN bidon 1 L"
Agua de vidrio,,NUTRICIONAL,NO,silicio,fortalece tejido,SL,FOLIAR,,,cc,,,,,,,,SIN_FICHA,,,,,700,cc,2026-03-26,,,,,,
Agroemulsion,,INSECTICIDA,NO,aceites: asfixia,"acaros, mosca blanca, afidos",EC,FOLIAR,25,37.5,cc,HOJA_STOCK: 1-1.5 cc/L,,,,,,,SIN_FICHA,,,,,700,cc,2026-03-26,1000,cc,36000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): aceites vegetales (pino, ricino, soya): asfixia"
Azasol,,INSECTICIDA,NO,azadiractina 6%,,SIN_DATO,FOLIAR,0.5,0.5,g,HOJA_STOCK: 0.02 g/L,,,,,,"Hoja Stock: No con caldo bordeles, azufre de cal ni materiales alcalinos",SIN_FICHA,,,,,15,g,2026-03-26,200,g,230375,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Reservar para emergencias. | Composicion (hoja Stock): azadiractina 6%; 2-3 aplicaciones cada 10 dias
Fitoderma,,INOCULANTE,HONGO+BACTERIA,Trichoderma + Bacillus,fusarium; PGPR,polvo,BANDEJA/DRENCH,25,25,g,"FICHA: 500 g/ha, al suelo",,,0,2,,Ficha: organismos vivos: en lo posible solo o con fertilizantes,CONFIRMADA,Drive 1broCQgbaTjhA2xUQsPB20qYPu5GA9ef6 (act. 2019-06-18),,12 meses,"ambiente, seco, sombra",600,g,2026-03-26,500,g,60461,2026-09-02,Vanessa (dictado) -- 02-nutricion/07-programa-biologico.md,"Composicion (hoja Stock): Bacillus subtilis + Trichoderma harzianum | FICHA: Bacillus subtilis + Trichoderma harzianum >=1e8 UFC/g c/u; N org 4 %, C org 38 %."
Estabios,,INOCULANTE,BACTERIA,Azotobacter + Pseudomonas,"PGPR, fijacion N",SL,DRENCH,25,50,cc,HOJA_STOCK: 1-2 cc/L,,,,,,,SIN_FICHA,,,,,3000,cc,2026-03-26,1000,cc,59000,2026-09-02,Vanessa (dictado) -- 02-nutricion/07-programa-biologico.md,"Composicion (hoja Stock): Azotobacter vinelandii, Azospirillum brasilense, Bacillus subtilis, Pseudomonas fluorescens"
Endhoriza,,INOCULANTE,HONGO,micorrizas,colonizacion radicular al trasplante,SIN_DATO,BANDEJA,,,cc,,,,,,,,SIN_FICHA,,,,,1500,cc,2026-03-26,,,,,,
Promobac,,INOCULANTE,BACTERIA,Bacillus mix,PGPR,SL,BANDEJA/DRENCH,,,cc,,,,,,FLEXIBLE,,SIN_FICHA,,,,,1000,cc,2026-03-26,1000,cc,59000,2026-09-02,Vanessa (dictado) -- 02-nutricion/07-programa-biologico.md,
Fullfert,,BIOESTIMULANTE,NO,humicos + fulvicos,,SL,DRENCH,,,cc,,,,,,,,SIN_FICHA,,,,,,,,,,,,,
LS60,,MOLUSQUICIDA,NO,extracto de teina,"babosas, caracoles",SIN_DATO,,50,50,cc,HOJA_STOCK: 2 cc/L,,,,,,,SIN_FICHA,,,,,700,cc,2026-03-26,1000,cc,67000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): extracto de teina
Anisagro,Natural Control,INSECTICIDA,HONGO+BACTERIA,Metarhizium + Bacillus popilliae,chiza,WP,DRENCH,12.5,12.5,g,HOJA_STOCK: 0.5 g/L,,,,,,,SIN_FICHA,,,,,,,,500,g,46800,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,Composicion (hoja Stock): Metarhizium anisopliae + esporas de Bacillus popilliae
